gu,Date,offense,Count
WINES,2020-06-01,ILLEGAL POSSESSION OF FIREARM,5
MAGSAYSAY,2020-06-01,DATA BREACH,3
PANACAN,2020-06-01,DISTURBANCE,3
GUMITAN,2020-06-01,COMPUTER FRAUD,1
74-A (MATINA CROSSING),2020-06-01,ROBBERY,4
BAGANIHAN,2020-06-01,MURDER,7
BARANGAY 37-D,2020-06-01,DRUNK DRIVING,5
BARANGAY 28-C,2020-06-01,ONLINE SCAM,2
TACUNAN,2020-06-01,IDENTITY THEFT,4
TACUNAN,2020-06-01,DISTURBANCE,7
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2020-06-01,CYBER LIBEL,4
MAPI-ILA,2020-06-01,ILLEGAL GAMBLING,3
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2020-06-01,UNAUTHORIZED ACCESS,3
MARAPANGI,2020-06-01,CYBER LIBEL,3
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",2020-06-01,VANDALISM,4
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2020-06-01,UNAUTHORIZED ACCESS,2
SAN ISIDRO,2020-06-01,MURDER,2
SALAYSAY,2020-06-01,UNAUTHORIZED ACCESS,2
MALAGOS,2020-06-01,MURDER,5
ALFONSO ANGLIONGTO SR,2020-06-01,ILLEGAL DRUGS,7
PANACAN,2020-06-01,IDENTITY THEFT,4
BUNAWAN (POB.),2020-06-01,ONLINE SCAM,1
PAQUIBATO (POB.),2020-06-01,UNAUTHORIZED ACCESS,3
LASANG,2020-06-01,DATA BREACH,1
TAMAYONG,2020-06-01,CYBER LIBEL,3
BAO JOAQUIN,2020-06-01,THREATS,4
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-06-01,THEFT,4
TACUNAN,2020-06-01,MURDER,6
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2020-06-01,ILLEGAL DRUGS,4
GUMALANG,2020-06-01,THEFT,6
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-06-01,DRUNK DRIVING,5
SALOY,2020-06-01,DATA BREACH,4
MINTAL,2020-06-01,UNAUTHORIZED ACCESS,3
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2020-06-01,DRUNK DRIVING,3
BUNAWAN (POB.),2020-06-01,COMPUTER FRAUD,4
"INDANGAN (BRGY UNDER PS 13, DCPO)",2020-06-01,UNAUTHORIZED ACCESS,2
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-06-01,COMPUTER FRAUD,3
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2020-06-01,DISTURBANCE,2
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2020-06-01,THREATS,2
MAGSAYSAY,2020-06-01,UNAUTHORIZED ACCESS,3
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2020-06-01,RAPE,3
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2020-06-01,VANDALISM,7
CALINAN (POB.),2020-06-01,ROBBERY,7
BAO JOAQUIN,2020-06-01,IDENTITY THEFT,3
MAGSAYSAY,2020-06-01,CYBER LIBEL,3
ILANG,2020-06-01,ROBBERY,5
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2020-06-01,RAPE,2
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-06-01,ILLEGAL GAMBLING,4
LACSON,2020-06-01,ILLEGAL GAMBLING,4
BAGO OSHIRO,2020-06-01,IDENTITY THEFT,4
76-A (BUCANA),2020-06-01,ILLEGAL DRUGS,3
CATALUNAN GRANDE,2020-06-01,HACKING,2
WINES,2020-06-01,DISTURBANCE,4
TIBUNGCO,2020-06-01,IDENTITY THEFT,1
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-06-01,RAPE,2
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-06-01,THEFT,4
CARMEN,2020-06-01,ROBBERY,2
BARANGAY 14-B,2020-06-01,VANDALISM,2
74-A (MATINA CROSSING),2020-06-01,UNAUTHORIZED ACCESS,2
BAO JOAQUIN,2020-06-01,THEFT,3
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2020-06-01,VANDALISM,5
BARANGAY 18-B,2020-06-01,MURDER,2
BARANGAY 32-D,2020-06-01,HACKING,2
76-A BUCANA,2020-06-01,CYBER LIBEL,2
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-07-01,DATA BREACH,3
TAMAYONG,2020-07-01,ROBBERY,7
BINUGAO,2020-07-01,HACKING,4
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-07-01,ONLINE SCAM,1
CAWAYAN,2020-07-01,DISTURBANCE,4
TAMBOBONG,2020-07-01,PHYSICAL INJURY,6
TUNGKALAN,2020-07-01,UNAUTHORIZED ACCESS,4
ULA,2020-07-01,ILLEGAL DRUGS,2
SALAPAWAN,2020-07-01,DRUNK DRIVING,3
ILANG,2020-07-01,VANDALISM,5
LASANG,2020-07-01,RAPE,6
"WAAN (BRGY UNDER ps 13, DCPO)",2020-07-01,VANDALISM,2
BARANGAY 39-D (POB.),2020-07-01,MURDER,5
BINUGAO,2020-07-01,THEFT,3
TAMUGAN,2020-07-01,ILLEGAL DRUGS,3
CALINAN (POB.),2020-07-01,MURDER,5
BARANGAY 27-C,2020-07-01,VANDALISM,4
LUBOGAN,2020-07-01,COMPUTER FRAUD,3
BAYABAS,2020-07-01,PHYSICAL INJURY,3
TAMBOBONG,2020-07-01,THEFT,6
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2020-07-01,MURDER,2
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2020-07-01,DRUNK DRIVING,7
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-07-01,ILLEGAL DRUGS,2
"WAAN (BRGY UNDER ps 13, DCPO)",2020-07-01,DRUNK DRIVING,6
PAQUIBATO (POB.),2020-07-01,THEFT,4
BARANGAY 22-C,2020-07-01,THREATS,4
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2020-07-01,VANDALISM,2
MALAGOS,2020-07-01,DISTURBANCE,6
MARILOG,2020-07-01,ILLEGAL GAMBLING,2
76-A BUCANA,2020-07-01,DATA BREACH,3
BARANGAY 5-A (POB.),2020-07-01,DISTURBANCE,6
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2020-07-01,IDENTITY THEFT,4
BARANGAY 28-C,2020-07-01,ILLEGAL GAMBLING,6
BARANGAY 5-A (POB.),2020-07-01,RAPE,3
BAYABAS,2020-07-01,RAPE,6
BARANGAY 14-B,2020-07-01,THREATS,6
BARANGAY 11-A,2020-07-01,ILLEGAL POSSESSION OF FIREARM,3
BINUGAO,2020-07-01,RAPE,2
TALOMO RIVER,2020-07-01,HACKING,4
40-D BOLTON ISLA,2020-07-01,DRUNK DRIVING,2
BARANGAY 39-D (POB.),2020-07-01,COMPUTER FRAUD,3
ALFONSO ANGLIONGTO SR,2020-07-01,CYBER LIBEL,1
LUBOGAN,2020-07-01,THREATS,2
BARANGAY 2-A (POB.),2020-07-01,RAPE,6
SAN ISIDRO,2020-07-01,DATA BREACH,1
MAGSAYSAY,2020-07-01,THREATS,6
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-07-01,RAPE,6
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-07-01,HACKING,1
COMMUNAL,2020-07-01,DRUNK DRIVING,3
TALOMO (POB.),2020-07-01,THEFT,6
FATIMA (BENOWANG),2020-07-01,DRUNK DRIVING,5
TUGBOK (POB.),2020-07-01,DISTURBANCE,2
WINES,2020-07-01,COMPUTER FRAUD,4
MAGSAYSAY,2020-07-01,ONLINE SCAM,2
MATINA PANGI,2020-07-01,PHYSICAL INJURY,2
BARANGAY 2-A (POB.),2020-07-01,MURDER,7
SIRIB,2020-07-01,ILLEGAL POSSESSION OF FIREARM,2
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2020-07-01,THEFT,5
TAPAK,2020-07-01,THREATS,7
BARANGAY 37-D,2020-07-01,MURDER,5
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-07-01,THEFT,5
EDEN,2020-07-01,HACKING,2
BARANGAY 17-B,2020-07-01,ROBBERY,2
BARANGAY 14-B,2020-07-01,THEFT,5
LUBOGAN,2020-07-01,HACKING,4
BAYABAS,2020-07-01,PHYSICAL INJURY,2
BAGO OSHIRO,2020-07-01,IDENTITY THEFT,4
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-07-01,THEFT,4
MARILOG,2020-07-01,MURDER,5
BAYABAS,2020-07-01,MURDER,2
TUNGKALAN,2020-07-01,ONLINE SCAM,3
SALUMAY,2020-07-01,ILLEGAL POSSESSION OF FIREARM,3
LACSON,2020-07-01,DRUNK DRIVING,3
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-07-01,RAPE,6
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-07-01,ROBBERY,2
BANTOL,2020-07-01,ILLEGAL GAMBLING,4
"ACACIA (BRGY UNDER PS 13, DCPO)",2020-07-01,RAPE,5
TORII (POB.),2020-07-01,ILLEGAL POSSESSION OF FIREARM,2
TUNGKALAN,2020-07-01,ONLINE SCAM,2
PAQUIBATO (POB.),2020-07-01,COMPUTER FRAUD,2
BAGO OSHIRO,2020-07-01,DRUNK DRIVING,5
BARANGAY 3-A (POB.),2020-07-01,THEFT,7
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2020-07-01,ILLEGAL DRUGS,7
ALAMBRE,2020-07-01,COMPUTER FRAUD,1
BARANGAY 28-C,2020-07-01,ILLEGAL GAMBLING,2
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2020-07-01,ILLEGAL POSSESSION OF FIREARM,2
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2020-07-01,DISTURBANCE,5
WANGAN,2020-07-01,PHYSICAL INJURY,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-07-01,HACKING,1
BARANGAY 37-D,2020-07-01,DATA BREACH,4
LACSON,2020-07-01,UNAUTHORIZED ACCESS,4
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-07-01,COMPUTER FRAUD,4
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2020-07-01,ILLEGAL DRUGS,3
ALAMBRE,2020-07-01,RAPE,5
ALAMBRE,2020-07-01,RAPE,5
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2020-07-01,HACKING,1
BAGUIO PROPER,2020-07-01,ILLEGAL GAMBLING,5
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-07-01,DISTURBANCE,5
CALINAN (POB.),2020-07-01,UNAUTHORIZED ACCESS,2
MATINA PANGI,2020-08-01,ILLEGAL POSSESSION OF FIREARM,5
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-08-01,ILLEGAL GAMBLING,5
PANACAN,2020-08-01,ILLEGAL POSSESSION OF FIREARM,2
SALAYSAY,2020-08-01,VANDALISM,2
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2020-08-01,VANDALISM,3
BARANGAY 37-D,2020-08-01,THEFT,4
SALAPAWAN,2020-08-01,ILLEGAL POSSESSION OF FIREARM,2
PAMPANGA,2020-08-01,ILLEGAL GAMBLING,2
"WAAN (BRGY UNDER ps 13, DCPO)",2020-08-01,HACKING,4
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-08-01,DRUNK DRIVING,4
CAWAYAN,2020-08-01,DISTURBANCE,5
TIGATTO,2020-08-01,ROBBERY,5
LACSON,2020-08-01,PHYSICAL INJURY,6
TORII (POB.),2020-08-01,THREATS,6
74-A (MATINA CROSSING),2020-08-01,VANDALISM,3
"ACACIA (BRGY UNDER PS 13, DCPO)",2020-08-01,THREATS,7
SAN ISIDRO,2020-08-01,VANDALISM,4
BUHANGIN (POB.),2020-08-01,DATA BREACH,4
LAMANAN,2020-08-01,MURDER,4
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-08-01,THREATS,2
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",2020-08-01,PHYSICAL INJURY,6
TORII (POB.),2020-08-01,ILLEGAL DRUGS,2
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2020-08-01,ONLINE SCAM,4
SALOY,2020-08-01,THEFT,2
TAMBOBONG,2020-08-01,THREATS,3
MARILOG,2020-08-01,THEFT,5
CARMEN,2020-08-01,UNAUTHORIZED ACCESS,4
BARANGAY 11-A,2020-08-01,ONLINE SCAM,2
MINTAL,2020-08-01,RAPE,2
EDEN,2020-08-01,PHYSICAL INJURY,3
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-08-01,ROBBERY,7
BUHANGIN (POB.),2020-08-01,DISTURBANCE,6
ULA,2020-08-01,DATA BREACH,1
BARANGAY 37-D,2020-08-01,ILLEGAL POSSESSION OF FIREARM,4
BARANGAY 17-B,2020-08-01,COMPUTER FRAUD,2
MATINA PANGI,2020-08-01,THREATS,3
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2020-08-01,ILLEGAL DRUGS,7
TIBUNGCO,2020-08-01,DRUNK DRIVING,5
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2020-08-01,PHYSICAL INJURY,3
"WAAN (BRGY UNDER ps 13, DCPO)",2020-08-01,UNAUTHORIZED ACCESS,3
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2020-08-01,PHYSICAL INJURY,4
BARANGAY 28-C,2020-08-01,DRUNK DRIVING,2
BARANGAY 22-C,2020-08-01,DRUNK DRIVING,4
BINUGAO,2020-08-01,ROBBERY,3
EDEN,2020-08-01,DISTURBANCE,3
TAMAYONG,2020-08-01,DISTURBANCE,7
PANALUM,2020-08-01,RAPE,6
MARAPANGI,2020-08-01,MURDER,2
TAMAYONG,2020-08-01,THEFT,7
MARAPANGI,2020-08-01,THEFT,5
CABANTIAN,2020-08-01,DRUNK DRIVING,7
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2020-08-01,ROBBERY,6
LACSON,2020-08-01,UNAUTHORIZED ACCESS,2
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2020-08-01,RAPE,5
PAQUIBATO (POB.),2020-08-01,CYBER LIBEL,3
MARILOG,2020-08-01,CYBER LIBEL,3
PANALUM,2020-08-01,DRUNK DRIVING,3
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-08-01,COMPUTER FRAUD,2
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-08-01,MURDER,3
TUGBOK (POB.),2020-08-01,RAPE,3
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2020-08-01,RAPE,2
DALIAO,2020-08-01,MURDER,2
BAGO OSHIRO,2020-08-01,ILLEGAL DRUGS,7
SALUMAY,2020-08-01,ILLEGAL DRUGS,2
TAPAK,2020-08-01,DATA BREACH,4
NEW VALENCIA,2020-08-01,ILLEGAL DRUGS,2
TALOMO (POB.),2020-08-01,COMPUTER FRAUD,4
TALOMO (POB.),2020-08-01,DATA BREACH,2
SAN ISIDRO,2020-08-01,HACKING,3
ILANG,2020-08-01,ROBBERY,3
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2020-08-01,UNAUTHORIZED ACCESS,2
40-D BOLTON ISLA,2020-08-01,ILLEGAL POSSESSION OF FIREARM,4
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2020-08-01,UNAUTHORIZED ACCESS,3
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-08-01,THREATS,4
PAQUIBATO (POB.),2020-08-01,UNAUTHORIZED ACCESS,3
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-08-01,ILLEGAL POSSESSION OF FIREARM,6
76-A (BUCANA),2020-08-01,ROBBERY,4
BARANGAY 22-C,2020-08-01,VANDALISM,4
"WAAN (BRGY UNDER ps 13, DCPO)",2020-08-01,MURDER,2
WANGAN,2020-08-01,HACKING,2
CABANTIAN,2020-08-01,ILLEGAL DRUGS,2
SANTO NINO,2020-08-01,RAPE,3
PAMPANGA,2020-08-01,ILLEGAL GAMBLING,7
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-08-01,DISTURBANCE,2
TAMBOBONG,2020-08-01,ROBBERY,4
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-08-01,IDENTITY THEFT,4
CARMEN,2020-08-01,COMPUTER FRAUD,4
"MANDUG (BRGY UNDER PS 13, DCPO)",2020-08-01,DATA BREACH,1
BAYABAS,2020-08-01,ILLEGAL POSSESSION OF FIREARM,2
BINUGAO,2020-08-01,VANDALISM,4
TUNGKALAN,2020-09-01,ILLEGAL DRUGS,3
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,CYBER LIBEL,1
BARANGAY 13-B,2020-09-01,CYBER LIBEL,4
BARANGAY 2-A (POB.),2020-09-01,ILLEGAL POSSESSION OF FIREARM,3
TALOMO RIVER,2020-09-01,ROBBERY,6
76-A BUCANA,2020-09-01,DISTURBANCE,2
CALINAN (POB.),2020-09-01,ILLEGAL POSSESSION OF FIREARM,3
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2020-09-01,UNAUTHORIZED ACCESS,2
BARANGAY 11-A,2020-09-01,DRUNK DRIVING,3
TIBUNGCO,2020-09-01,THREATS,6
40-D BOLTON ISLA,2020-09-01,ILLEGAL GAMBLING,7
BAYABAS,2020-09-01,PHYSICAL INJURY,7
TIBUNGCO,2020-09-01,ROBBERY,6
MALABOG,2020-09-01,CYBER LIBEL,1
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,UNAUTHORIZED ACCESS,4
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,COMPUTER FRAUD,3
VICENTE HIZON SR.,2020-09-01,ILLEGAL POSSESSION OF FIREARM,5
CATALUNAN GRANDE,2020-09-01,THEFT,6
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,UNAUTHORIZED ACCESS,4
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,DISTURBANCE,7
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2020-09-01,ILLEGAL DRUGS,5
BARANGAY 18-B,2020-09-01,COMPUTER FRAUD,3
TACUNAN,2020-09-01,DATA BREACH,3
WANGAN,2020-09-01,DATA BREACH,2
BANTOL,2020-09-01,ILLEGAL DRUGS,3
SIRIB,2020-09-01,UNAUTHORIZED ACCESS,3
SIRIB,2020-09-01,DISTURBANCE,2
PAQUIBATO (POB.),2020-09-01,ILLEGAL GAMBLING,3
BUNAWAN (POB.),2020-09-01,DATA BREACH,3
EDEN,2020-09-01,CYBER LIBEL,4
TACUNAN,2020-09-01,PHYSICAL INJURY,5
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-09-01,ILLEGAL DRUGS,4
SUAWAN (TULI),2020-09-01,THREATS,4
TIBUNGCO,2020-09-01,UNAUTHORIZED ACCESS,3
MATINA PANGI,2020-09-01,ONLINE SCAM,3
BINUGAO,2020-09-01,THREATS,2
LUBOGAN,2020-09-01,ONLINE SCAM,3
ALAMBRE,2020-09-01,DATA BREACH,2
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,VANDALISM,6
BINUGAO,2020-09-01,VANDALISM,7
ALFONSO ANGLIONGTO SR,2020-09-01,COMPUTER FRAUD,4
SAN ISIDRO,2020-09-01,ILLEGAL GAMBLING,5
MARILOG,2020-09-01,MURDER,4
"MANDUG (BRGY UNDER PS 13, DCPO)",2020-09-01,ONLINE SCAM,2
ALAMBRE,2020-09-01,ILLEGAL POSSESSION OF FIREARM,3
RIVERSIDE,2020-09-01,DRUNK DRIVING,7
MAPI-ILA,2020-09-01,ONLINE SCAM,4
SAN ISIDRO,2020-09-01,HACKING,4
SUAWAN (TULI),2020-09-01,THREATS,3
BARANGAY 22-C,2020-09-01,VANDALISM,3
BARANGAY 22-C,2020-09-01,PHYSICAL INJURY,7
TIGATTO,2020-09-01,CYBER LIBEL,3
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,VANDALISM,6
COMMUNAL,2020-09-01,THREATS,4
BARANGAY 3-A (POB.),2020-09-01,ONLINE SCAM,2
MAPI-ILA,2020-09-01,VANDALISM,5
SALAPAWAN,2020-09-01,DISTURBANCE,6
40-D BOLTON ISLA,2020-09-01,DISTURBANCE,4
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2020-09-01,RAPE,6
WINES,2020-09-01,MURDER,3
BARANGAY 39-D (POB.),2020-09-01,IDENTITY THEFT,2
BARANGAY 39-D (POB.),2020-09-01,ROBBERY,7
TAMAYONG,2020-09-01,THREATS,7
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2020-09-01,CYBER LIBEL,4
CATALUNAN GRANDE,2020-09-01,MURDER,3
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,CYBER LIBEL,4
SAN ISIDRO,2020-09-01,ONLINE SCAM,4
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2020-09-01,CYBER LIBEL,4
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,ILLEGAL DRUGS,2
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-09-01,THEFT,6
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,COMPUTER FRAUD,4
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-09-01,THREATS,6
ILANG,2020-09-01,IDENTITY THEFT,1
CARMEN,2020-09-01,PHYSICAL INJURY,6
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-09-01,PHYSICAL INJURY,2
TIBUNGCO,2020-09-01,DATA BREACH,2
MARAPANGI,2020-09-01,HACKING,3
BAYABAS,2020-09-01,COMPUTER FRAUD,2
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2020-09-01,DATA BREACH,3
PANACAN,2020-09-01,RAPE,3
PAMPANGA,2020-09-01,HACKING,3
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-09-01,CYBER LIBEL,3
BARANGAY 3-A (POB.),2020-10-01,THREATS,4
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2020-10-01,THREATS,4
BARANGAY 32-D,2020-10-01,ILLEGAL DRUGS,3
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-10-01,DISTURBANCE,5
MAGSAYSAY,2020-10-01,PHYSICAL INJURY,3
BUHANGIN (POB.),2020-10-01,DISTURBANCE,5
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",2020-10-01,PHYSICAL INJURY,6
BARANGAY 39-D (POB.),2020-10-01,THEFT,7
BARANGAY 23-C,2020-10-01,VANDALISM,2
MARILOG,2020-10-01,CYBER LIBEL,4
SIRIB,2020-10-01,DATA BREACH,1
BARANGAY 3-A (POB.),2020-10-01,THREATS,4
TALOMO (POB.),2020-10-01,THREATS,3
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2020-10-01,DATA BREACH,1
BARANGAY 13-B,2020-10-01,CYBER LIBEL,1
BUNAWAN (POB.),2020-10-01,IDENTITY THEFT,1
40-D BOLTON ISLA,2020-10-01,HACKING,4
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2020-10-01,IDENTITY THEFT,1
BAO JOAQUIN,2020-10-01,HACKING,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-10-01,VANDALISM,6
SAN ISIDRO,2020-10-01,VANDALISM,7
BANGKAS HEIGHTS,2020-10-01,THREATS,7
TACUNAN,2020-10-01,RAPE,2
BARANGAY 27-C,2020-10-01,DATA BREACH,4
BANGKAS HEIGHTS,2020-10-01,ONLINE SCAM,3
NEW VALENCIA,2020-10-01,IDENTITY THEFT,1
SALOY,2020-10-01,PHYSICAL INJURY,4
MALABOG,2020-10-01,DRUNK DRIVING,7
BAGUIO PROPER,2020-10-01,RAPE,4
BAGUIO PROPER,2020-10-01,COMPUTER FRAUD,1
CARMEN,2020-10-01,ILLEGAL DRUGS,7
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-10-01,MURDER,7
WINES,2020-10-01,ILLEGAL GAMBLING,7
BARANGAY 39-D (POB.),2020-10-01,COMPUTER FRAUD,4
BARANGAY 18-B,2020-10-01,HACKING,4
TUGBOK (POB.),2020-10-01,ROBBERY,4
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-10-01,THREATS,3
76-A BUCANA,2020-10-01,MURDER,5
CAWAYAN,2020-10-01,ILLEGAL DRUGS,3
CATALUNAN GRANDE,2020-10-01,ILLEGAL GAMBLING,4
MALAGOS,2020-10-01,ILLEGAL DRUGS,5
TAMAYONG,2020-10-01,ROBBERY,7
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-10-01,DRUNK DRIVING,3
BARANGAY 3-A (POB.),2020-10-01,ROBBERY,3
"WAAN (BRGY UNDER ps 13, DCPO)",2020-10-01,RAPE,6
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-10-01,THEFT,2
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2020-10-01,ROBBERY,5
TORII (POB.),2020-10-01,DISTURBANCE,6
BANGKAS HEIGHTS,2020-10-01,COMPUTER FRAUD,3
MAGSAYSAY,2020-10-01,DATA BREACH,2
SAN ISIDRO,2020-10-01,ROBBERY,6
BARANGAY 2-A (POB.),2020-10-01,THEFT,4
BARANGAY 37-D,2020-10-01,THREATS,6
FATIMA (BENOWANG),2020-10-01,CYBER LIBEL,2
TAMBOBONG,2020-10-01,DATA BREACH,1
BARANGAY 23-C,2020-10-01,IDENTITY THEFT,3
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2020-10-01,THREATS,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-10-01,PHYSICAL INJURY,7
BAGUIO PROPER,2020-10-01,THEFT,5
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2020-10-01,MURDER,4
SUBASTA,2020-10-01,ROBBERY,4
MABUHAY,2020-10-01,COMPUTER FRAUD,3
BARANGAY 14-B,2020-10-01,ILLEGAL DRUGS,3
BARANGAY 11-A,2020-10-01,IDENTITY THEFT,2
CAWAYAN,2020-10-01,ILLEGAL GAMBLING,4
"INDANGAN (BRGY UNDER PS 13, DCPO)",2020-10-01,ILLEGAL GAMBLING,3
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2020-10-01,DISTURBANCE,6
BARANGAY 28-C,2020-10-01,IDENTITY THEFT,1
ILANG,2020-10-01,THEFT,6
BARANGAY 5-A (POB.),2020-10-01,ROBBERY,4
MINTAL,2020-10-01,DISTURBANCE,5
SAN ISIDRO,2020-10-01,VANDALISM,2
MARILOG,2020-10-01,ILLEGAL GAMBLING,4
